"seqID","kbase_suffix","Domain","Phylum","Class","Order","Family","Genus","Species","FastANI Reference","FastANI Reference Radius","FastANI Taxonomy","FastANI ANI","FastANI Alignment Fraction","Closest Placement Reference","Closest Placement Taxonomy","Closest Placement ANI","Closest Placement Alignment Fraction","Classification Method","Note","Other Related References","MSA AA Percent","RED Value","Warnings","kbase_file","Marker Lineage","# Genomes","# Markers","# Marker Sets","0","1","2","3","4","5+","Completeness","Contamination","Contamination level"
"108","TCS_genomes_7","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas_E","Pseudomonas_E edaphica","GCF_005863185.1","95","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E edaphica","98.77","0.904","GCF_005863185.1","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E edaphica","98.77","0.904","ani_screen","classification based on ANI only","GCF_900107155.1, s__Pseudomonas_E salo...","96.72","-","-","TCS_genomes_7_DRAM","o__Pseudomonadales",185,813,308,0,809,3,1,0,0,100,0.87,"Very low"
"109","TCS_genomes_7","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas_E","Pseudomonas_E shirazensis","GCF_014268785.2","95","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E shirazensis","97.52","0.911","GCF_014268785.2","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E shirazensis","97.52","0.911","ani_screen","classification based on ANI only","GCF_900536025.1, s__Pseudomonas_E reid...","97.87","-","-","TCS_genomes_7_DRAM","o__Pseudomonadales",185,813,308,0,811,2,0,0,0,100,0.14,"Very low"
"11","TCS_genomes_1","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas_E","Pseudomonas_E fluorescens_BG","GCF_900636825.1","95","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E fluorescens_BG","97.51","0.897","-","-","-","-","ani_screen","classification based on ANI only","GCF_001598475.1, s__Pantoea agglomeran...","-","-","No bacterial or archaeal marker","TCS_genomes_1_DRAM","root",5656,56,24,0,0,56,0,0,0,100,100,"Very high"
"110","TCS_genomes_7","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","Acinetobacter calcoaceticus_C","GCF_900520355.1","95","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter calcoaceticus_C","96.36","0.912","GCF_900520355.1","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter calcoaceticus_C","96.36","0.912","ani_screen","classification based on ANI only","GCF_000368965.1, s__Acinetobacter calc...","97.24","-","-","TCS_genomes_7_DRAM","c__Gammaproteobacteria",1164,275,174,1,272,2,0,0,0,99.43,0.57,"Very low"
"111","TCS_genomes_7","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas_E","Pseudomonas_E putida_G","GCF_001976065.1","95","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E putida_G","99.25","0.937","GCF_001976065.1","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E putida_G","99.25","0.937","ani_screen","classification based on ANI only","GCF_000282475.1, s__Pseudomonas_E sp00...","97.66","-","-","TCS_genomes_7_DRAM","o__Pseudomonadales",185,813,308,0,810,3,0,0,0,100,0.54,"Very low"
"112","TCS_genomes_7","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas_E","Pseudomonas_E fluorescens_BG","GCF_900636825.1","95","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E fluorescens_BG","97.53","0.938","GCF_900636825.1","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E fluorescens_BG","97.53","0.938","ani_screen","classification based on ANI only","GCF_009764645.1, s__Pseudomonas_E sp00...","97.74","-","-","TCS_genomes_7_DRAM","o__Pseudomonadales",185,813,308,0,811,2,0,0,0,100,0.22,"Very low"
"113","TCS_genomes_7","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas_E","Pseudomonas_E fluorescens_BG","GCF_900636825.1","95","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E fluorescens_BG","97.49","0.937","GCF_900636825.1","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E fluorescens_BG","97.49","0.937","ani_screen","classification based on ANI only","GCF_009764645.1, s__Pseudomonas_E sp00...","97.74","-","-","TCS_genomes_7_DRAM","o__Pseudomonadales",185,813,308,0,811,2,0,0,0,100,0.22,"Very low"
"114","TCS_genomes_7","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas_E","Pseudomonas_E granadensis","GCF_900105485.1","95","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E granadensis","95.54","0.922","GCA_902825215.1","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E fluorescens_G","93.74","0.895","ani_screen","classification based on ANI only","GCF_004011755.1, s__Pseudomonas_E sp00...","97.68","-","-","TCS_genomes_7_DRAM","o__Pseudomonadales",185,813,308,0,812,1,0,0,0,100,0.11,"Very low"
"115","TCS_genomes_7","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas_E","","-","-","-","-","-","GCF_021605415.1","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E syringae_S","89.19","0.86","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","GCF_003352875.1, s__Pseudomonas_E fluo...","96.86","0.99645","Genome not assigned to closest species as it falls outside its pre-defined ANI radius","TCS_genomes_7_DRAM","o__Pseudomonadales",185,813,308,0,807,5,1,0,0,100,1.03,"Low"
"116","TCS_genomes_7","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas_E","Pseudomonas_E granadensis","GCF_900105485.1","95","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E granadensis","95.29","0.928","-","-","-","-","ani_screen","classification based on ANI only","GCF_900105485.1, s__Pseudomonas_E gran...","97.68","-","-","TCS_genomes_7_DRAM","o__Pseudomonadales",185,813,308,0,812,1,0,0,0,100,0.11,"Very low"
"117","TCS_genomes_7","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas_E","Pseudomonas_E granadensis","GCF_900105485.1","95","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E granadensis","95.3","0.924","-","-","-","-","ani_screen","classification based on ANI only","GCF_900105485.1, s__Pseudomonas_E gran...","97.68","-","-","TCS_genomes_7_DRAM","o__Pseudomonadales",185,813,308,0,812,1,0,0,0,100,0.11,"Very low"
"118","TCS_genomes_7","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Pantoea","Pantoea agglomerans","GCF_001598475.1","95","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Pantoea;s__Pantoea agglomerans","97.18","0.927","GCF_001598475.1","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Pantoea;s__Pantoea agglomerans","97.18","0.927","ani_screen","classification based on ANI only","GCF_900115075.1, s__Pantoea sp90011507...","97.76","-","-","TCS_genomes_7_DRAM","f__Enterobacteriaceae",223,876,305,0,872,4,0,0,0,100,0.49,"Very low"
"119","TCS_genomes_7","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas_E","","-","-","-","-","-","-","-","-","-","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","GCF_014268655.2, s__Pseudomonas_E marv...","97.54","0.98895","Genome not assigned to closest species as it falls outside its pre-defined ANI radius","TCS_genomes_7_DRAM","o__Pseudomonadales",185,813,308,1,811,1,0,0,0,99.92,0.11,"Very low"
"12","TCS_genomes_1","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas_E","Pseudomonas_E chlororaphis_G","GCF_003731765.1","95","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E chlororaphis_G","98.06","0.921","GCF_003731765.1","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E chlororaphis_G","98.06","0.921","ani_screen","classification based on ANI only","GCF_013407925.2, s__Pseudomonas_E fluo...","96.78","-","-","TCS_genomes_1_DRAM","o__Pseudomonadales",185,813,308,0,809,4,0,0,0,100,0.78,"Very low"
"120","TCS_genomes_7","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas_E","","-","-","-","-","-","-","-","-","-","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","GCF_014268655.2, s__Pseudomonas_E marv...","97.54","0.98873","Genome not assigned to closest species as it falls outside its pre-defined ANI radius","TCS_genomes_7_DRAM","o__Pseudomonadales",185,813,308,0,812,1,0,0,0,100,0.11,"Very low"
"121","TCS_genomes_7","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas_E","","-","-","-","-","-","-","-","-","-","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","GCF_019145495.1, s__Pseudomonas_E azer...","97.66","0.9903","Genome not assigned to closest species as it falls outside its pre-defined ANI radius","TCS_genomes_7_DRAM","o__Pseudomonadales",185,813,308,0,809,3,0,1,0,100,1.46,"Low"
"122","TCS_genomes_7","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas_E","","-","-","-","-","-","GCF_003851685.1","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E sp003851685","94.48","0.862","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","GCF_003852235.1, s__Pseudomonas_E sp00...","92.08","0.99956","Genome not assigned to closest species as it falls outside its pre-defined ANI radius","TCS_genomes_7_DRAM","o__Pseudomonadales",185,813,308,0,780,32,1,0,0,100,5.36,"Medium"
"123","TCS_genomes_7","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas_E","Pseudomonas_E alvandae","GCF_019141525.1","95","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E alvandae","98.15","0.91","GCF_019141525.1","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E alvandae","98.15","0.91","ani_screen","classification based on ANI only","GCF_013608025.1, s__Pseudomonas_E neoa...","93.43","-","-","TCS_genomes_7_DRAM","o__Pseudomonadales",185,813,308,0,780,32,1,0,0,100,5.36,"Medium"
"124","TCS_genomes_7","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas_E","","-","-","-","-","-","-","-","-","-","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","GCF_900105485.1, s__Pseudomonas_E gran...","97.68","0.99977","Genome not assigned to closest species as it falls outside its pre-defined ANI radius","TCS_genomes_7_DRAM","o__Pseudomonadales",185,813,308,0,811,2,0,0,0,100,0.19,"Very low"
"125","TCS_genomes_7","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas_E","Pseudomonas_E kilonensis","GCF_001269885.1","95","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E kilonensis","96.3","0.885","GCF_001269885.1","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E kilonensis","96.3","0.885","ani_screen","classification based on ANI only","GCF_008801605.1, s__Pseudomonas_E bras...","97.44","-","-","TCS_genomes_7_DRAM","o__Pseudomonadales",185,813,308,0,812,1,0,0,0,100,0.11,"Very low"
"126","TCS_genomes_8","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas_E","Pseudomonas_E poae","GCF_001439785.1","95","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E poae","98.78","0.929","GCF_001439785.1","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E poae","98.78","0.929","ani_screen","classification based on ANI only","GCF_001439805.1, s__Pseudomonas_E triv...","97.6","-","-","TCS_genomes_8_DRAM","o__Pseudomonadales",185,813,308,0,812,1,0,0,0,100,0.11,"Very low"
"127","TCS_genomes_8","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas_E","","-","-","-","-","-","GCF_019733355.1","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E baetica_A","87.58","0.756","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","GCF_018336155.1, s__Pseudomonas_E rust...","97.7","0.99824","Genome not assigned to closest species as it falls outside its pre-defined ANI radius","TCS_genomes_8_DRAM","o__Pseudomonadales",185,813,308,0,811,2,0,0,0,100,0.22,"Very low"
"128","TCS_genomes_8","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Lelliottia","Lelliottia amnigena","GCA_900635465.1","95","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Lelliottia;s__Lelliottia amnigena","98.28","0.913","GCA_900635465.1","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Lelliottia;s__Lelliottia amnigena","98.28","0.913","ani_screen","classification based on ANI only","GCA_000016325.1, s__Lelliottia sp00001...","98.35","-","-","TCS_genomes_8_DRAM","f__Enterobacteriaceae",157,1005,324,1,1003,1,0,0,0,99.96,0.08,"Very low"
"129","TCS_genomes_8","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas_E","Pseudomonas_E sp009764265","GCF_009764265.1","95","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E sp009764265","95.42","0.865","GCF_009764265.1","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E sp009764265","95.42","0.865","ani_screen","classification based on ANI only","GCF_019956575.1, s__Pseudomonas_E sp01...","97.7","-","-","TCS_genomes_8_DRAM","o__Pseudomonadales",185,813,308,1,810,2,0,0,0,99.84,0.14,"Very low"
"13","TCS_genomes_1","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas_E","Pseudomonas_E moraviensis_B","GCF_004358055.1","96.0199","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E moraviensis_B","96.95","0.918","GCF_004358055.1","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E moraviensis_B","96.95","0.918","ani_screen","classification based on ANI only","GCF_004801935.1, s__Pseudomonas_E atac...","97.72","-","-","TCS_genomes_1_DRAM","o__Pseudomonadales",185,813,308,0,811,2,0,0,0,100,0.22,"Very low"
"130","TCS_genomes_8","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","Acinetobacter calcoaceticus_C","GCF_900520355.1","95","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter calcoaceticus_C","96.25","0.895","GCF_900520355.1","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter calcoaceticus_C","96.25","0.895","ani_screen","classification based on ANI only","GCF_000368965.1, s__Acinetobacter calc...","98.83","-","-","TCS_genomes_8_DRAM","c__Gammaproteobacteria",1164,275,174,0,275,0,0,0,0,100,0,"No detectable contamination"
"131","TCS_genomes_8","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","Acinetobacter calcoaceticus_C","GCF_900520355.1","95","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter calcoaceticus_C","96.28","0.89","GCF_900520355.1","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter calcoaceticus_C","96.28","0.89","ani_screen","classification based on ANI only","GCF_000368965.1, s__Acinetobacter calc...","98.83","-","-","TCS_genomes_8_DRAM","c__Gammaproteobacteria",1164,275,174,0,275,0,0,0,0,100,0,"No detectable contamination"
